Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
BHV,BlackRock Virginia Municipal Bond Trust,Financial,Closed-End Fund - Debt,USA,16629999.999999998,58.17,10.47,-0.002,451.0
BIRD,Allbirds Inc,Consumer Cyclical,Apparel Retail,USA,84650000.0,,10.4,-0.0207,20663.0
BIVI,BioVie Inc,Healthcare,Biotechnology,USA,15790000.0,,8.5,-0.11460000000000001,203375.0
BJDX,Bluejay Diagnostics Inc,Healthcare,Medical Devices,USA,2440000.0,,1.63,0.0,19485.0
BKHA,Black Hawk Acquisition Corp,Financial,Shell Companies,USA,95020000.0,33.76,10.64,0.0,0.0
BKKT,Bakkt Holdings Inc,Technology,Software - Infrastructure,USA,236890000.0,,16.75,-0.0754,529199.0
BLBX,Blackboxstocks Inc,Technology,Software - Application,USA,27250000.0,,7.47,0.0492,79899.0
BLIN,Bridgeline Digital Inc,Technology,Software - Infrastructure,USA,17880000.0,,1.5,0.013500000000000002,23239.0
BLIV,BeLive Holdings,Technology,Software - Application,Singapore,37030000.0,,3.41,-0.0394,16291.0
BLNE,Beeline Holdings Inc,Consumer Defensive,Beverages - Wineries & Distilleries,USA,11970000.0,,1.32,-0.0504,521120.0
BLRX,Bioline Rx Ltd ADR,Healthcare,Biotechnology,Israel,18530000.0,,4.35,-0.031200000000000002,22354.0
BMGL,Basel Medical Group Ltd,Healthcare,Medical Care Facilities,Singapore,40020000.0,100.0,2.13,0.2384,1444154.0
BMRA,Biomerica Inc,Healthcare,Medical Devices,USA,8410000.0,,3.31,0.0113,12112.0
BNED,Barnes & Noble Education Inc,Consumer Cyclical,Specialty Retail,USA,380380000.0,,11.17,-0.0167,142466.0
BNGO,Bionano Genomics Inc,Healthcare,Medical Instruments & Supplies,USA,11050000.0,,3.29,-0.0252,40745.0
BNR,Burning Rock Biotech Ltd ADR,Healthcare,Diagnostics & Research,China,31420000.0,,3.48,0.0235,6659.0
BNRG,Brenmiller Energy Ltd,Utilities,Utilities - Renewable,Israel,7000000.0,,2.57,-0.0313,23840.0
BODI,Beachbody Company Inc,Communication Services,Internet Content & Information,USA,28440000.0,,4.06,-0.0379,8854.0
BOF,BranchOut Food Inc,Consumer Defensive,Packaged Foods,USA,24050000.0,,2.51,-0.09390000000000001,96445.0
BOLT,Bolt Biotherapeutics Inc,Healthcare,Biotechnology,USA,11110000.0,,5.8,-0.0207,25215.0
BOSC,B.O.S. Better Online Solutions,Technology,Communication Equipment,Israel,29740000.0,10.46,5.02,0.002,103187.0
BOTJ,Bank of the James Financial Group Inc,Financial,Banks - Regional,USA,62880000.0,9.53,13.84,-0.0022,1111.0
BOWN,Bowen Acquisition Corp,Financial,Shell Companies,USA,29410000.0,30.22,9.77,-0.0327,1515.0
BOXL,Boxlight Corporation,Technology,Consumer Electronics,USA,5510000.0,,2.08,0.0452,13674.0
BQ,Boqii Holding Limited ADR,Consumer Cyclical,Specialty Retail,China,7210000.0,,2.42,0.056799999999999996,19770.0
BRFH,Barfresh Food Group Inc,Consumer Defensive,Beverages - Non-Alcoholic,USA,52860000.0,,3.32,0.0993,1500.0
BRIA,BrilliA Inc,Consumer Cyclical,Apparel Retail,Singapore,75950000.0,0.03,2.48,-0.0059,291.0
BRID,Bridgford Foods Corp,Consumer Defensive,Packaged Foods,USA,71070000.0,,7.83,-0.0126,943.0
BRLS,Borealis Foods Inc,Consumer Defensive,Packaged Foods,Canada,74840000.0,,3.5,-0.0358,4968.0
BRN,Barnwell Industries Inc,Energy,Oil & Gas E&P,USA,12360000.0,,1.23,0.0696,32230.0
BRTX,BioRestorative Therapies Inc,Healthcare,Biotechnology,USA,11400000.0,,1.52,-0.0194,23607.0
BSAAU,BEST SPAC I Acquisition Corp,Financial,Shell Companies,Hong Kong,58000000.0,,10.01,0.0,0.0
BSBK,Bogota Financial Corp,Financial,Banks - Regional,USA,105370000.0,,8.1,0.0202,5823.0
BSET,Bassett Furniture Industries Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,145190000.0,,16.68,0.036000000000000004,29781.0
BSLK,Bolt Projects Holdings Inc,Basic Materials,Specialty Chemicals,USA,5130000.0,4.86,2.49,-0.0317,6784.0
BTAI,BioXcel Therapeutics Inc,Healthcare,Biotechnology,USA,11390000.0,,1.88,-0.0259,230216.0
BTBD,BT Brands Inc,Consumer Cyclical,Restaurants,USA,8050000.000000001,,1.36,0.042300000000000004,690.0
BTCT,BTC Digital Ltd,Technology,Computer Hardware,Singapore,24350000.0,,3.24,-0.032799999999999996,150386.0
BVFL,BV Financial Inc,Financial,Banks - Regional,USA,167410000.0,14.95,15.9,0.0032,29637.0
BYFC,Broadway Financial Corp,Financial,Banks - Regional,USA,70520000.0,,7.64,0.02,5055.0
CALC,CalciMedica Inc,Healthcare,Biotechnology,USA,22760000.0,,1.63,0.012199999999999999,12478.0
CAMP,CAMP4 Therapeutics Corp,Healthcare,Biotechnology,USA,28230000.0,,1.4,-0.021,65503.0
CANF,Can-Fite Biopharma Ltd ADR,Healthcare,Biotechnology,Israel,13550000.0,,1.02,0.0,72787.0
CAPN,Cayson Acquisition Corp,Financial,Shell Companies,USA,80810000.0,87.9,10.32,-0.0346,202.0
CAPS,Capstone Holding Corp,Basic Materials,Building Materials,USA,7170000.0,,1.38,-0.0861,97502.0
CARV,Carver Bancorp Inc,Financial,Banks - Regional,USA,8680000.0,,1.71,-0.0058,26056.0
CASI,CASI Pharmaceuticals Inc,Healthcare,Biotechnology,China,19730000.0,,1.27,-0.020499999999999997,10648.0
CBIO,Crescent Biopharma Inc,Healthcare,Biotechnology,USA,9850000.0,,15.27,-0.039,79162.0
CCEL,"Cryo-Cell International, Inc",Healthcare,Medical Care Facilities,USA,40410000.0,400.0,5.0,-0.009899999999999999,4593.0
CCM,Concord Medical Services ADR,Healthcare,Medical Care Facilities,China,16010000.000000002,,5.68,0.0104,2250.0
CCTG,CCSC Technology International Holdings Ltd,Industrials,Electrical Equipment & Parts,Hong Kong,17410000.0,,1.05,-0.0187,4396.0
CDIO,Cardio Diagnostics Holdings Inc,Healthcare,Biotechnology,USA,6540000.0,,3.76,-0.0105,22775.0
CDT,Conduit Pharmaceuticals Inc,Healthcare,Biotechnology,USA,1870000.0,,2.47,-0.1524,816297.0
CEE,Central and Eastern Europe Fund Inc,Financial,Closed-End Fund - Foreign,USA,100750000.0,3.57,15.6,-0.0127,25189.0
CELZ,Creative Medical Technology Holdings Inc,Healthcare,Biotechnology,USA,6900000.0,,2.67,0.0,24352.0
CERO,CERo Therapeutics Holdings Inc,Healthcare,Biotechnology,USA,4570000.0,,8.85,-0.0443,67527.0
CETX,Cemtrex Inc,Technology,Software - Infrastructure,USA,4150000.0000000005,,1.29,0.048499999999999995,469522.0
CEV,Eaton Vance California Municipal Income Trust,Financial,Closed-End Fund - Debt,USA,68010000.0,12.56,9.67,-0.0040999999999999995,35568.0
CFSB,CFSB Bancorp Inc,Financial,Banks - Regional,USA,90170000.0,,13.77,0.0015,406.0
CGO,Calamos Global Total Return Fund,Financial,Closed-End Fund - Equity,USA,114480000.0,13.83,11.62,-0.013600000000000001,26530.0
CGTL,Creative Global Technology Holdings Ltd,Consumer Cyclical,Specialty Retail,Hong Kong,25080000.0,45.7,1.17,-0.0565,437839.0
CHAR,Charlton Aria Acquisition Corp,Financial,Shell Companies,USA,114970000.0,115.15,10.49,0.021400000000000002,14.0
CHCI,Comstock Holding Co. Inc,Real Estate,Real Estate Services,USA,113770000.0,7.45,11.3,0.0424,18123.0
CHEB,Chenghe Acquisition II Co,Financial,Shell Companies,Singapore,94990000.0,,10.1,0.0632,6358.0
CHN,China Fund Inc,Financial,Closed-End Fund - Foreign,USA,143160000.0,7.82,14.71,0.0007000000000000001,22276.0
CHNR,China Natural Resources Inc,Industrials,Pollution & Treatment Controls,Hong Kong,4450000.0,,3.61,-0.0204,7190.0
CHPG,ChampionsGate Acquisition Corp,Financial,Shell Companies,USA,99900000.0,,10.0,0.0,48404.0
CHPGU,ChampionsGate Acquisition Corp,Financial,Shell Companies,USA,101600000.0,,10.17,-0.001,42.0
CHR,Cheer Holding Inc,Communication Services,Advertising Agencies,China,17800000.0,0.6,1.53,-0.058499999999999996,13092.0
CING,Cingulate Inc,Healthcare,Biotechnology,USA,18230000.0,,4.3,0.0034999999999999996,85710.0
CISS,C3is Inc,Industrials,Marine Shipping,Greece,2590000.0,,3.32,0.012199999999999999,9073.0
CJMB,Callan Jmb Inc,Industrials,Integrated Freight & Logistics,USA,22350000.0,,5.03,0.035,5821.0
CKX,CKX Lands Inc,Energy,Oil & Gas E&P,USA,22280000.0,29.32,10.85,-0.0046,6009.0
CLGN,CollPlant Biotechnologies Ltd,Healthcare,Biotechnology,Israel,17300000.0,,1.36,-0.0173,31004.0
CLNN,Clene Inc,Consumer Defensive,Packaged Foods,USA,34990000.0,,3.89,-0.0013,28852.0
CLRB,Cellectar Biosciences Inc,Healthcare,Biotechnology,USA,8790000.0,,4.85,0.0104,84851.0
CLRO,ClearOne Inc,Technology,Communication Equipment,USA,18920000.0,,10.92,0.092,153569.0
CLST,Catalyst Bancorp Inc,Financial,Banks - Regional,USA,51670000.0,22.44,12.36,-0.0096,4336.0
CLWT,"Euro Tech Holdings Co., Ltd",Industrials,Pollution & Treatment Controls,Hong Kong,8600000.0,11.88,1.13,-0.0088,1373.0
CMCT,Creative Media & Community Trust,Real Estate,REIT - Office,USA,6490000.0,,8.6,-0.0315,8582.0
CMDB,Costamare Bulkers Holdings Ltd,Industrials,Marine Shipping,Monaco,215410000.0,,8.9,-0.0209,79640.0
CMND,Clearmind Medicine Inc,Healthcare,Biotechnology,Canada,5490000.0,,1.02,-0.0726,1032677.0
CMT,Core Molding Technologies,Basic Materials,Specialty Chemicals,USA,154840000.0,12.91,17.22,-0.0046,10733.0
CNET,ZW Data Action Technologies Inc,Communication Services,Advertising Agencies,China,3400000.0,,1.48,-0.013300000000000001,35951.0
CNEY,CN Energy Group Inc,Basic Materials,Specialty Chemicals,China,8180000.0,,2.63,-0.0259,8017.0
COCP,Cocrystal Pharma Inc,Healthcare,Biotechnology,USA,15260000.0,,1.5,-0.0132,6002.0
CODA,Coda Octopus Group Inc,Industrials,Aerospace & Defense,USA,91320000.0,26.84,8.13,0.0025,53246.0
COEP,Coeptis Therapeutics Holdings Inc,Healthcare,Biotechnology,USA,26840000.0,,7.64,0.013300000000000001,28566.0
COLA,Columbus Acquisition Corp,Financial,Shell Companies,Singapore,80750000.0,,10.17,0.003,2.0
CPBI,Central Plains Bancshares Inc,Financial,Banks - Regional,USA,64140000.0,16.0,15.2,0.0208,199.0
CPHC,Canterbury Park Holding Corp,Consumer Cyclical,Resorts & Casinos,USA,94940000.0,115.57,18.82,0.0165,3565.0
CPHI,China Pharma Holdings Inc,Healthcare,Drug Manufacturers - Specialty & Generic,China,5640000.0,,1.73,-0.059800000000000006,39295.0
CPIX,Cumberland Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,47580000.0,,3.18,0.0095,67737.0
CPSS,"Consumer Portfolio Service, Inc",Financial,Credit Services,USA,213440000.0,12.44,9.9,-0.011000000000000001,3424.0
CRD-B,Crawford & Co,Financial,Insurance Brokers,USA,524419999.99999994,16.84,10.31,0.0,4283.0
CREV,Carbon Revolution Public Ltd. Co,Consumer Cyclical,Auto Parts,Ireland,7660000.0,,4.06,0.5496,1825220.0
CREX,Creative Realities Inc,Technology,Software - Application,USA,34710000.0,,3.3,0.0,40971.0
CRT,Cross Timbers Royalty Trust,Energy,Oil & Gas E&P,USA,58380000.0,9.78,9.73,0.0031,24465.0
CRVO,CervoMed Inc,Healthcare,Biotechnology,USA,50610000.0,,5.82,0.0292,117751.0
CRWS,"Crown Crafts, Inc",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,31010000.0,,2.93,-0.0051,8776.0
CSBR,Champions Oncology Inc,Healthcare,Biotechnology,USA,121690000.0,19.55,8.8,0.146,12966.0
CSCI,COSCIENS Biopharma Inc,Healthcare,Biotechnology,Canada,10900000.0,,3.46,0.0,1241.0
CSPI,CSP Inc,Technology,Information Technology Services,USA,124170000.0,,12.59,-0.0195,7993.0
CTNT,Cheetah Net Supply Chain Service Inc,Industrials,Integrated Freight & Logistics,USA,4150000.0000000005,,1.29,-0.0373,21321.0
CTOR,Citius Oncology Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,365260000.0,,5.1,-0.035,345370.0
CTRM,Castor Maritime Inc,Industrials,Marine Shipping,Cyprus,21060000.0,2.41,2.18,-0.0395,30543.0
CUPR,Cuprina Holdings (Cayman) Ltd,Healthcare,Medical Instruments & Supplies,Singapore,143930000.0,,6.71,-0.0275,809681.0
CVKD,Cadrenal Therapeutics Inc,Healthcare,Biotechnology,USA,25550000.0,,12.99,0.0008,35439.0
CVM,Cel-Sci Corp,Healthcare,Biotechnology,USA,11610000.0,,2.26,-0.0924,148550.0
CVR,Chicago Rivet & Machine Co,Industrials,Tools & Accessories,USA,11720000.0,,12.13,-0.0296,750.0
CVU,CPI Aerostructures Inc,Industrials,Aerospace & Defense,USA,43100000.0,23.35,3.32,-0.0104,8846.0
CVV,CVD Equipment Corp,Industrials,Specialty Industrial Machinery,USA,22300000.0,,3.24,0.0351,43952.0
CWD,CaliberCos Inc,Financial,Asset Management,USA,4430000.0,,3.36,-0.0655,59880.0
CXH,MFS Investment Grade Municipal Trust,Financial,Closed-End Fund - Debt,USA,62310000.0,8.64,7.6,-0.0026,30857.0
CYCC,Cyclacel Pharmaceuticals Inc,Healthcare,Biotechnology,USA,5070000.0,,3.2,-0.096,5171499.0
CYCN,Cyclerion Therapeutics Inc,Healthcare,Biotechnology,USA,10080000.0,,3.14,-0.0655,9392.0
CYN,Cyngn Inc,Technology,Software - Application,USA,63470000.0,,12.55,-0.023700000000000002,1054234.0
CZWI,Citizens Community Bancorp Inc MD,Financial,Banks - Regional,USA,147190000.0,11.64,14.73,0.0003,24409.0
DAIC,CID Holdco Inc,Technology,Information Technology Services,USA,178810000.0,,6.47,0.0712,1352643.0
DAIO,Data io Corp,Technology,Electronic Components,USA,29750000.0,,3.22,0.019,28137.0
DALN,DallasNews Corporation,Communication Services,Publishing,USA,24200000.0,0.81,4.52,0.0226,12496.0
DARE,Dare Bioscience Inc,Healthcare,Biotechnology,USA,21550000.0,,2.43,0.0146,75645.0
DATS,DatChat Inc,Technology,Software - Application,USA,13370000.0,,2.66,0.015300000000000001,64560.0
DDC,DDC Enterprise Ltd,Consumer Defensive,Packaged Foods,Hong Kong,92150000.0,,12.02,0.0013,107303.0
DERM,Journey Medical Corp,Healthcare,Drug Manufacturers - Specialty & Generic,USA,166800000.0,,7.16,0.0085,61578.0
DFSC,DEFSEC Technologies Inc,Industrials,Aerospace & Defense,Canada,6480000.0,,9.67,0.175,51407.0
DLPN,Dolphin Entertainment Inc,Communication Services,Advertising Agencies,USA,15300000.0,,1.37,0.0702,40033.0
DMA,Destra Multi-Alternative Fund,Financial,Closed-End Fund - Equity,USA,77460000.0,,8.64,-0.0123,32589.0
DMYY,dMY Squared Technology Group Inc,Financial,Shell Companies,USA,50860000.0,,12.98,-0.0054,98087.0
DOGZ,Dogness (International) Corp,Consumer Cyclical,Leisure,China,116230000.0,,9.13,-0.1093,347751.0
DOMH,Dominari Holdings Inc,Financial,Capital Markets,USA,74970000.0,,5.12,-0.0285,135257.0
DPRO,Draganfly Inc,Industrials,Aerospace & Defense,Canada,17920000.0,,3.3,0.057699999999999994,992342.0
DSWL,"Deswell Industries, Inc",Technology,Electronic Components,China,44140000.0,3.96,2.77,-0.014199999999999999,9436.0
DSY,Big Tree Cloud Holdings Ltd,Consumer Defensive,Household & Personal Products,China,85050000.0,,1.49,-0.0067,1649.0
DTF,DTF Tax-Free Income 2028 Term Fund Inc,Financial,Closed-End Fund - Debt,USA,78860000.0,53.42,11.22,-0.0033,2632.0
DTIL,Precision Biosciences Inc,Healthcare,Biotechnology,USA,48220000.0,,4.35,0.002,47100.0
DTSQ,DT Cloud Star Acquisition Corp,Financial,Shell Companies,USA,93360000.0,50.9,10.49,0.0103,1.0
DTSS,Datasea Inc,Technology,Software - Infrastructure,China,14390000.0,,1.88,-0.018500000000000003,38846.0
DTST,Data Storage Corp,Technology,Information Technology Services,USA,25950000.0,140.85,3.63,0.0151,26138.0
